,game_id,event_id,inning,inning_top_bot,score,batting,fielding,description,player1,player1_end,player2,player2_end,player3,player3_end,player4,player4_end,pinch_player_in,pinch_player_out
0,0,0,1,top,0-0,Cal St. Fullerton,Stanford,H. LoForte fouled out to lf (3-2 BKBBK).,H. LoForte,out,,,,,,,,
1,0,1,1,top,0-0,Cal St. Fullerton,Stanford,S.Valenzuela struck out swinging (1-2 BKSS).,S.Valenzuela,out,,,,,,,,
2,0,2,1,top,0-0,Cal St. Fullerton,Stanford,R. Cardenas fouled out to c (1-1 KB).,R. Cardenas,out,,,,,,,,
3,0,3,1,bot,0-0,Stanford,Cal St. Fullerton,"Hoerner,N grounded out to ss (3-1 KBBB).","Hoerner,N",out,,,,,,,,
4,0,4,1,bot,0-0,Stanford,Cal St. Fullerton,"Handley, M. popped up to 2b (2-2 BKBS).","Handley, M.",out,,,,,,,,
5,0,5,1,bot,0-0,Stanford,Cal St. Fullerton,"Bakst,Dan flied out to cf (2-1 KBB).","Bakst,Dan",out,,,,,,,,
6,0,6,2,top,0-0,Cal St. Fullerton,Stanford,C. Prescott grounded out to 3b (1-2 BSK).,C. Prescott,out,,,,,,,,
7,0,7,2,top,0-0,Cal St. Fullerton,Stanford,D. Cope struck out swinging (2-2 BFBKFS).,D. Cope,out,,,,,,,,
8,0,8,2,top,0-0,Cal St. Fullerton,Stanford,T. Lasch popped up to ss (1-0 B).,T. Lasch,out,,,,,,,,
9,0,9,2,bot,0-0,Stanford,Cal St. Fullerton,"Wulff, B. walked (3-0 BBBB).","Wulff, B.",first,,,,,,,,
10,0,10,2,bot,0-0,Stanford,Cal St. Fullerton,"Daschbach singled through the left side (1-1 FB) Wulff, B. advanced to second.",Daschbach,first,"Wulff, B.",second,,,,,,
11,0,11,2,bot,0-0,Stanford,Cal St. Fullerton,"Stowers,K reached on a fielders choice (0-0) Daschbach out at second ss to 2b Wulff, B. advanced to third.","Stowers,K",first,Daschbach,out,"Wulff, B.",third,,,,
12,0,12,2,bot,0-0,Stanford,Cal St. Fullerton,"Wilson, A. popped up to ss (2-1 BBF).","Wilson, A.",out,,,,,,,,
13,0,13,2,bot,0-1,Stanford,Cal St. Fullerton,"Tawa, T. singled through the left side, RBI (0-2 KS) Stowers,K advanced to second Wulff, B. scored.","Tawa, T.",first,"Stowers,K",second,"Wulff, B.",score,,,,
14,0,14,2,bot,0-1,Stanford,Cal St. Fullerton,"Kuet,J struck out swinging (2-2 BFSBFFFS).","Kuet,J",out,,,,,,,,
15,0,15,3,top,0-1,Cal St. Fullerton,Stanford,J. Hernandez flied out to rf (2-1 BKB).,J. Hernandez,out,,,,,,,,
16,0,16,3,top,0-1,Cal St. Fullerton,Stanford,J. Pavletich singled to left field (1-1 SB).,J. Pavletich,first,,,,,,,,
17,0,17,3,top,0-1,Cal St. Fullerton,Stanford,B. Borgogno struck out swinging (0-2 KKFS).,B. Borgogno,out,,,,,,,,
18,0,18,3,top,0-1,Cal St. Fullerton,Stanford,"J. Pavletich out at second c to ss, caught stealing.",J. Pavletich,out,,,,,,,,
19,0,19,3,bot,0-1,Stanford,Cal St. Fullerton,"Hoerner,N doubled to center field (0-0).","Hoerner,N",second,,,,,,,,
20,0,20,3,bot,0-2,Stanford,Cal St. Fullerton,"Handley, M. singled through the left side, RBI (3-2 BKKBBF) Hoerner,N scored.","Handley, M.",first,"Hoerner,N",score,,,,,,
21,0,21,3,bot,0-2,Stanford,Cal St. Fullerton,"Handley, M. advanced to second on a wild pitch.","Handley, M.",second,,,,,,,,
22,0,22,3,bot,0-2,Stanford,Cal St. Fullerton,"Bakst,Dan grounded out to 2b (0-1 S) Handley, M. advanced to third.","Bakst,Dan",out,"Handley, M.",third,,,,,,
23,0,23,3,bot,0-2,Stanford,Cal St. Fullerton,"Wulff, B. struck out looking (0-2 KSK).","Wulff, B.",out,,,,,,,,
24,0,24,3,bot,0-3,Stanford,Cal St. Fullerton,"Handley, M. scored on a wild pitch.","Handley, M.",score,,,,,,,,
25,0,25,3,bot,0-3,Stanford,Cal St. Fullerton,Daschbach hit by pitch (1-1 SB).,Daschbach,first,,,,,,,,
26,0,26,3,bot,0-3,Stanford,Cal St. Fullerton,"Stowers,K flied out to cf (0-0).","Stowers,K",out,,,,,,,,
27,0,27,4,top,0-3,Cal St. Fullerton,Stanford,H. LoForte flied out to lf (2-2 BBKS).,H. LoForte,out,,,,,,,,
28,0,28,4,top,0-3,Cal St. Fullerton,Stanford,S.Valenzuela struck out swinging (3-2 FBBBFFS).,S.Valenzuela,out,,,,,,,,
29,0,29,4,top,0-3,Cal St. Fullerton,Stanford,R. Cardenas popped up to ss (0-1 K).,R. Cardenas,out,,,,,,,,
30,0,30,4,bot,0-3,Stanford,Cal St. Fullerton,"Wilson, A. struck out swinging (0-2 KFS).","Wilson, A.",out,,,,,,,,
31,0,31,4,bot,0-3,Stanford,Cal St. Fullerton,"Tawa, T. walked (3-2 KBSBBB).","Tawa, T.",first,,,,,,,,
32,0,32,4,bot,0-3,Stanford,Cal St. Fullerton,"Tawa, T. advanced to second on a wild pitch.","Tawa, T.",second,,,,,,,,
33,0,33,4,bot,0-3,Stanford,Cal St. Fullerton,"Kuet,J grounded out to 3b (2-0 BB).","Kuet,J",out,,,,,,,,
34,0,34,4,bot,0-3,Stanford,Cal St. Fullerton,"Tawa, T. advanced to third on a wild pitch.","Tawa, T.",third,,,,,,,,
35,0,35,4,bot,0-4,Stanford,Cal St. Fullerton,"Hoerner,N singled up the middle, RBI (2-2 KFBFFB) Tawa, T. scored.","Hoerner,N",first,"Tawa, T.",score,,,,,,
36,0,36,4,bot,0-4,Stanford,Cal St. Fullerton,"Hoerner,N stole second, advanced to third on an error by c.","Hoerner,N",third,,,,,,,,
37,0,37,4,bot,0-5,Stanford,Cal St. Fullerton,"Hoerner,N scored on a balk, unearned.","Hoerner,N",score,,,,,,,,
38,0,38,4,bot,0-5,Stanford,Cal St. Fullerton,"Handley, M. grounded out to 3b (3-2 KBFBFB).","Handley, M.",out,,,,,,,,
39,0,39,5,top,0-5,Cal St. Fullerton,Stanford,C. Prescott grounded out to ss (0-1 K).,C. Prescott,out,,,,,,,,
40,0,40,5,top,0-5,Cal St. Fullerton,Stanford,D. Cope popped up to 2b (1-2 KKB).,D. Cope,out,,,,,,,,
41,0,41,5,top,0-5,Cal St. Fullerton,Stanford,T. Lasch walked (3-0 BBBB).,T. Lasch,first,,,,,,,,
42,0,42,5,top,0-5,Cal St. Fullerton,Stanford,J. Hernandez reached on a fielders choice (1-2 BKK) T. Lasch out at second 2b to ss.,J. Hernandez,first,T. Lasch,out,,,,,,
43,0,43,5,bot,0-5,Stanford,Cal St. Fullerton,"Bakst,Dan walked (3-2 BBBKFB).","Bakst,Dan",first,,,,,,,,
44,0,44,5,bot,0-5,Stanford,Cal St. Fullerton,"Wulff, B. singled to center field (0-0) Bakst,Dan advanced to second.","Wulff, B.",first,"Bakst,Dan",second,,,,,,
45,0,45,5,bot,0-5,Stanford,Cal St. Fullerton,"Daschbach singled to right field (1-2 KSB) Wulff, B. advanced to second Bakst,Dan advanced to third, out at home rf to c.",Daschbach,first,"Wulff, B.",second,"Bakst,Dan",out,,,,
46,0,46,5,bot,0-5,Stanford,Cal St. Fullerton,T. Wilson to p for C. Eastman.,,,,,,,,,,
47,0,47,5,bot,0-5,Stanford,Cal St. Fullerton,"Stowers,K reached on a fielders choice (2-0 BB) Daschbach out at second 2b to ss Wulff, B. advanced to third.","Stowers,K",first,Daschbach,out,"Wulff, B.",third,,,,
48,0,48,5,bot,0-5,Stanford,Cal St. Fullerton,"Wilson, A. grounded out to 1b unassisted (2-2 FKFBB).","Wilson, A.",out,,,,,,,,
49,0,49,6,top,0-5,Cal St. Fullerton,Stanford,J. Pavletich doubled down the lf line (3-1 BBKB).,J. Pavletich,second,,,,,,,,
50,0,50,6,top,0-5,Cal St. Fullerton,Stanford,B. Borgogno struck out swinging (1-2 KFBFS).,B. Borgogno,out,,,,,,,,
51,0,51,6,top,0-5,Cal St. Fullerton,Stanford,H. LoForte grounded out to p (1-1 KB) J. Pavletich advanced to third.,H. LoForte,out,J. Pavletich,third,,,,,,
52,0,52,6,top,1-5,Cal St. Fullerton,Stanford,"S.Valenzuela singled to left field, RBI (1-0 B) J. Pavletich scored.",S.Valenzuela,first,J. Pavletich,score,,,,,,
53,0,53,6,top,1-5,Cal St. Fullerton,Stanford,R. Cardenas singled to right field (0-0) S.Valenzuela advanced to third.,R. Cardenas,first,S.Valenzuela,third,,,,,,
54,0,54,6,top,1-5,Cal St. Fullerton,Stanford,C. Prescott grounded out to ss (3-2 BKFBB).,C. Prescott,out,,,,,,,,
55,0,55,6,bot,1-5,Stanford,Cal St. Fullerton,"Tawa, T. grounded out to 2b (2-1 FBB).","Tawa, T.",out,,,,,,,,
56,0,56,6,bot,1-5,Stanford,Cal St. Fullerton,"Kuet,J flied out to rf (2-2 KFBB).","Kuet,J",out,,,,,,,,
