"","date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"43","02/16/2018","Stanford, Calif.",NA,"5","top","0-5","Cal St. Fullerton","Stanford","J. Hernandez reached on a fielders choice (1-2 BKK) T. Lasch out at second 2b to ss."
"44","02/16/2018","Stanford, Calif.",NA,"5","bot","0-5","Stanford","Cal St. Fullerton","Bakst,Dan walked (3-2 BBBKFB)."
"45","02/16/2018","Stanford, Calif.",NA,"5","bot","0-5","Stanford","Cal St. Fullerton","Wulff, B. singled to center field (0-0) Bakst,Dan advanced to second."
"46","02/16/2018","Stanford, Calif.",NA,"5","bot","0-5","Stanford","Cal St. Fullerton","Daschbach singled to right field (1-2 KSB) Wulff, B. advanced to second Bakst,Dan advanced to third, out at home rf to c."
"47","02/16/2018","Stanford, Calif.",NA,"5","bot","0-5","Stanford","Cal St. Fullerton","T. Wilson to p for C. Eastman."
"48","02/16/2018","Stanford, Calif.",NA,"5","bot","0-5","Stanford","Cal St. Fullerton","Stowers,K reached on a fielders choice (2-0 BB) Daschbach out at second 2b to ss Wulff, B. advanced to third."
"49","02/16/2018","Stanford, Calif.",NA,"5","bot","0-5","Stanford","Cal St. Fullerton","Wilson, A. grounded out to 1b unassisted (2-2 FKFBB)."
"50","02/16/2018","Stanford, Calif.",NA,"6","top","0-5","Cal St. Fullerton","Stanford","J. Pavletich doubled down the lf line (3-1 BBKB)."
"51","02/16/2018","Stanford, Calif.",NA,"6","top","0-5","Cal St. Fullerton","Stanford","B. Borgogno struck out swinging (1-2 KFBFS)."
"52","02/16/2018","Stanford, Calif.",NA,"6","top","0-5","Cal St. Fullerton","Stanford","H. LoForte grounded out to p (1-1 KB) J. Pavletich advanced to third."
"53","02/16/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","S.Valenzuela singled to left field, RBI (1-0 B) J. Pavletich scored."
"54","02/16/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","R. Cardenas singled to right field (0-0) S.Valenzuela advanced to third."
"55","02/16/2018","Stanford, Calif.",NA,"6","top","1-5","Cal St. Fullerton","Stanford","C. Prescott grounded out to ss (3-2 BKFBB)."
"56","02/16/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Tawa, T. grounded out to 2b (2-1 FBB)."
"57","02/16/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Kuet,J flied out to rf (2-2 KFBB)."
"58","02/16/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Hoerner,N tripled down the rf line (1-1 KB)."
"59","02/16/2018","Stanford, Calif.",NA,"6","bot","1-5","Stanford","Cal St. Fullerton","Handley, M. flied out to lf (3-1 FBBB)."
"60","02/16/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","Grech, Z. to p for Beck, T.."
"61","02/16/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","D. Cope hit by pitch (1-0 B)."
"62","02/16/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","T. Lasch flied out to cf (1-2 BKFF)."
"63","02/16/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","J. Hernandez flied out to cf (1-1 BK)."
"64","02/16/2018","Stanford, Calif.",NA,"7","top","1-5","Cal St. Fullerton","Stanford","J. Pavletich flied out to lf (3-2 KBBSFB)."
"65","02/16/2018","Stanford, Calif.",NA,"7","bot","1-5","Stanford","Cal St. Fullerton","J. Endersby to p for T. Wilson."
"66","02/16/2018","Stanford, Calif.",NA,"7","bot","1-5","Stanford","Cal St. Fullerton","Bakst,Dan walked (3-0 BBBB)."
"67","02/16/2018","Stanford, Calif.",NA,"7","bot","1-5","Stanford","Cal St. Fullerton","Wulff, B. reached on a fielders choice (2-2 KBBK) Bakst,Dan out at second 3b to 2b."
"68","02/16/2018","Stanford, Calif.",NA,"7","bot","1-5","Stanford","Cal St. Fullerton","Daschbach reached on a fielders choice (3-2 BSBSB) Wulff, B. out at second 3b to 2b."
"69","02/16/2018","Stanford, Calif.",NA,"7","bot","1-5","Stanford","Cal St. Fullerton","Stowers,K walked (3-2 BSBFBB) Daschbach advanced to second."
"70","02/16/2018","Stanford, Calif.",NA,"7","bot","1-5","Stanford","Cal St. Fullerton","Wilson, A. grounded out to 1b unassisted (0-1 K)."
"71","02/16/2018","Stanford, Calif.",NA,"8","top","1-5","Cal St. Fullerton","Stanford","M. Berryhill pinch hit for B. Borgogno."
"72","02/16/2018","Stanford, Calif.",NA,"8","top","1-5","Cal St. Fullerton","Stanford","M. Berryhill singled to center field (1-1 BF)."
"73","02/16/2018","Stanford, Calif.",NA,"8","top","1-5","Cal St. Fullerton","Stanford","Little, J. to p for Grech, Z.."
"74","02/16/2018","Stanford, Calif.",NA,"8","top","1-5","Cal St. Fullerton","Stanford","H. LoForte popped up to ss (3-1 BBFB)."
"75","02/16/2018","Stanford, Calif.",NA,"8","top","1-5","Cal St. Fullerton","Stanford","S.Valenzuela flied out to cf (1-2 KBF)."
"76","02/16/2018","Stanford, Calif.",NA,"8","top","1-5","Cal St. Fullerton","Stanford","R. Cardenas struck out swinging (0-2 SSS)."
"77","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Z. Weller to 3b for M. Berryhill."
"78","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Z. Weller to 3b for J. Hernandez."
"79","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","M. Berryhill to cf for Z. Weller."
"80","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Tawa, T. grounded out to 3b (2-1 KBB)."
"81","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Kuet,J singled to left center (0-1 K)."
"82","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Kuet,J advanced to second on a wild pitch."
"83","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Hoerner,N walked (3-1 BBBKB) Kuet,J advanced to third on a wild pitch."
"84","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","D. Brown to p for J. Endersby."
"85","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Handley, M. struck out looking (0-2 KSK) Hoerner,N stole second."
"86","02/16/2018","Stanford, Calif.",NA,"8","bot","1-5","Stanford","Cal St. Fullerton","Bakst,Dan grounded out to 2b (0-1 K)."
"87","02/16/2018","Stanford, Calif.",NA,"9","top","1-5","Cal St. Fullerton","Stanford","C. Prescott flied out to cf (0-1 K)."
"88","02/16/2018","Stanford, Calif.",NA,"9","top","1-5","Cal St. Fullerton","Stanford","D. Cope grounded out to 3b (0-0)."
"89","02/16/2018","Stanford, Calif.",NA,"9","top","1-5","Cal St. Fullerton","Stanford","T. Lasch flied out to cf (0-0)."
"90","02/17/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","H. LoForte flied out to cf (1-1 BK)."
"91","02/17/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","S.Valenzuela struck out looking (2-2 BKBFK)."
"92","02/17/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","R. Cardenas flied out to rf (2-0 BB)."
"93","02/17/2018","Stanford, Calif.",NA,"1","bot","0-0","Stanford","Cal St. Fullerton","Hoerner,N grounded out to 3b (0-0)."
"94","02/17/2018","Stanford, Calif.",NA,"1","bot","0-0","Stanford","Cal St. Fullerton","Handley, M. struck out swinging (2-2 KKBBFFS)."
"95","02/17/2018","Stanford, Calif.",NA,"1","bot","0-0","Stanford","Cal St. Fullerton","Bakst,Dan flied out to rf (0-0)."
"96","02/17/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","C. Prescott singled through the left side (2-1 BBK)."
"97","02/17/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","D. Cope reached on a fielding error by 3b (1-2 KBK) C. Prescott advanced to second."
"98","02/17/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","C. Prescott out at third c to 3b to p, caught stealing."
"99","02/17/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","T. Lasch grounded out to 3b (1-1 BK) D. Cope advanced to second."
"100","02/17/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","J. Hernandez struck out swinging (3-2 KKBBBS)."
"101","02/17/2018","Stanford, Calif.",NA,"2","bot","0-0","Stanford","Cal St. Fullerton","Wulff, B. singled to left field (2-2 KFBB)."
"102","02/17/2018","Stanford, Calif.",NA,"2","bot","0-0","Stanford","Cal St. Fullerton","Daschbach hit by pitch (1-2 BKKFF) Wulff, B. advanced to second."
"103","02/17/2018","Stanford, Calif.",NA,"2","bot","0-2","Stanford","Cal St. Fullerton","Stowers,K tripled down the rf line, 2 RBI (0-1 S) Daschbach scored Wulff, B. scored."
"104","02/17/2018","Stanford, Calif.",NA,"2","bot","0-3","Stanford","Cal St. Fullerton","Tawa, T. doubled down the lf line, RBI (2-2 BSSB) Stowers,K scored."
"105","02/17/2018","Stanford, Calif.",NA,"2","bot","0-3","Stanford","Cal St. Fullerton","Wilson, A. out at first 1b to p (0-1 F) Tawa, T. advanced to third."
"106","02/17/2018","Stanford, Calif.",NA,"2","bot","0-4","Stanford","Cal St. Fullerton","Kuet,J grounded out to ss, RBI (0-0) Tawa, T. scored."
"107","02/17/2018","Stanford, Calif.",NA,"2","bot","0-4","Stanford","Cal St. Fullerton","Hoerner,N grounded out to 3b (2-0 BB)."
"108","02/17/2018","Stanford, Calif.",NA,"3","top","0-4","Cal St. Fullerton","Stanford","J. Pavletich grounded out to 1b unassisted (3-2 KBBFBF)."
"109","02/17/2018","Stanford, Calif.",NA,"3","top","0-4","Cal St. Fullerton","Stanford","Z. Weller flied out to cf (2-2 BSKBF)."
"110","02/17/2018","Stanford, Calif.",NA,"3","top","0-4","Cal St. Fullerton","Stanford","H. LoForte grounded out to 1b unassisted (2-2 BKSB)."
"111","02/17/2018","Stanford, Calif.",NA,"3","bot","0-4","Stanford","Cal St. Fullerton","Handley, M. doubled to left field (3-1 BBBK)."
"112","02/17/2018","Stanford, Calif.",NA,"3","bot","0-4","Stanford","Cal St. Fullerton","Bakst,Dan flied out to cf (1-2 BFK) Handley, M. advanced to third."
"113","02/17/2018","Stanford, Calif.",NA,"3","bot","0-4","Stanford","Cal St. Fullerton","Wulff, B. struck out swinging (0-2 KFS)."
"114","02/17/2018","Stanford, Calif.",NA,"3","bot","0-4","Stanford","Cal St. Fullerton","Daschbach struck out swinging (2-2 FBSBFS)."
"115","02/17/2018","Stanford, Calif.",NA,"4","top","0-4","Cal St. Fullerton","Stanford","S.Valenzuela grounded out to 2b (1-1 KB)."
