"","date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"1162","03/09/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Tawa, T. grounded out to 3b."
"1163","03/09/2018","Austin, Texas",NA,"1","top","1-0","Stanford","Texas","Hoerner,N homered to left field, RBI."
"1164","03/09/2018","Austin, Texas",NA,"1","top","1-0","Stanford","Texas","Wulff, B. grounded out to ss."
"1165","03/09/2018","Austin, Texas",NA,"1","top","1-0","Stanford","Texas","Daschbach flied out to rf."
"1166","03/09/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Hamilton walked."
"1167","03/09/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Hibbeler struck out swinging."
"1168","03/09/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Hamilton out at second c to ss, caught stealing."
"1169","03/09/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Clemens, Ko walked."
"1170","03/09/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Zubia grounded out to ss."
"1171","03/09/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Handley, M. singled to left field."
"1172","03/09/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Stowers,K struck out swinging."
"1173","03/09/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Molfetta,C struck out swinging."
"1174","03/09/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Branton,B singled to shortstop: Handley, M. advanced to second."
"1175","03/09/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Kuet,J flied out to cf."
"1176","03/09/2018","Austin, Texas",NA,"2","bot","1-0","Texas","Stanford","Reynolds struck out swinging."
"1177","03/09/2018","Austin, Texas",NA,"2","bot","1-0","Texas","Stanford","Petrinsky grounded out to ss."
"1178","03/09/2018","Austin, Texas",NA,"2","bot","1-0","Texas","Stanford","Shaw, T struck out looking."
"1179","03/09/2018","Austin, Texas",NA,"3","top","1-0","Stanford","Texas","Tawa, T. singled to left field."
"1180","03/09/2018","Austin, Texas",NA,"3","top","1-0","Stanford","Texas","Hoerner,N grounded out to 3b: Tawa, T. advanced to second."
"1181","03/09/2018","Austin, Texas",NA,"3","top","1-0","Stanford","Texas","Wulff, B. flied out to rf."
"1182","03/09/2018","Austin, Texas",NA,"3","top","2-0","Stanford","Texas","Daschbach singled to center field, RBI: Tawa, T. scored."
"1183","03/09/2018","Austin, Texas",NA,"3","top","2-0","Stanford","Texas","Daschbach advanced to second on a muffed throw by 1b, failed pickoff attempt."
"1184","03/09/2018","Austin, Texas",NA,"3","top","2-0","Stanford","Texas","Handley, M. grounded out to ss."
"1185","03/09/2018","Austin, Texas",NA,"3","bot","2-0","Texas","Stanford","Bertelson walked."
"1186","03/09/2018","Austin, Texas",NA,"3","bot","2-0","Texas","Stanford","Ellis walked: Bertelson advanced to second."
"1187","03/09/2018","Austin, Texas",NA,"3","bot","2-0","Texas","Stanford","Hamilton singled, bunt: Ellis advanced to second: Bertelson advanced to third."
"1188","03/09/2018","Austin, Texas",NA,"3","bot","2-0","Texas","Stanford","Hibbeler struck out swinging."
"1189","03/09/2018","Austin, Texas",NA,"3","bot","2-0","Texas","Stanford","Clemens, Ko reached on a fielders choice: Hamilton out at second 2b unassisted, interference."
"1190","03/09/2018","Austin, Texas",NA,"3","bot","2-0","Texas","Stanford","Zubia reached on a fielders choice: Clemens, Ko out at second ss to 2b."
"1191","03/09/2018","Austin, Texas",NA,"4","top","2-0","Stanford","Texas","Stowers,K struck out looking."
"1192","03/09/2018","Austin, Texas",NA,"4","top","2-0","Stanford","Texas","Molfetta,C singled up the middle."
"1193","03/09/2018","Austin, Texas",NA,"4","top","2-0","Stanford","Texas","Branton,B fouled out to 1b."
"1194","03/09/2018","Austin, Texas",NA,"4","top","2-0","Stanford","Texas","Molfetta,C out at second c to 2b, caught stealing."
"1195","03/09/2018","Austin, Texas",NA,"4","bot","2-0","Texas","Stanford","Reynolds grounded out to p."
"1196","03/09/2018","Austin, Texas",NA,"4","bot","2-0","Texas","Stanford","Petrinsky flied out to rf."
"1197","03/09/2018","Austin, Texas",NA,"4","bot","2-0","Texas","Stanford","Shaw, T struck out looking."
"1198","03/09/2018","Austin, Texas",NA,"5","top","2-0","Stanford","Texas","Kuet,J fouled out to 1b."
"1199","03/09/2018","Austin, Texas",NA,"5","top","2-0","Stanford","Texas","Tawa, T. singled to left field."
"1200","03/09/2018","Austin, Texas",NA,"5","top","2-0","Stanford","Texas","Hoerner,N singled up the middle: Tawa, T. advanced to third."
"1201","03/09/2018","Austin, Texas",NA,"5","top","5-0","Stanford","Texas","Wulff, B. homered to left field, 3 RBI: Hoerner,N scored: Tawa, T. scored."
"1202","03/09/2018","Austin, Texas",NA,"5","top","5-0","Stanford","Texas","Daschbach flied out to rf."
"1203","03/09/2018","Austin, Texas",NA,"5","top","5-0","Stanford","Texas","Handley, M. walked."
"1204","03/09/2018","Austin, Texas",NA,"5","top","5-0","Stanford","Texas","Stowers,K grounded out to 1b unassisted."
"1205","03/09/2018","Austin, Texas",NA,"5","bot","5-0","Texas","Stanford","Bertelson struck out looking."
"1206","03/09/2018","Austin, Texas",NA,"5","bot","5-0","Texas","Stanford","Ellis struck out swinging."
"1207","03/09/2018","Austin, Texas",NA,"5","bot","5-0","Texas","Stanford","Hamilton singled to center field."
"1208","03/09/2018","Austin, Texas",NA,"5","bot","5-0","Texas","Stanford","Hibbeler flied out to rf."
"1209","03/09/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","McKenzie to 1b for Bertelson."
"1210","03/09/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Molfetta,C singled through the left side."
"1211","03/09/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Branton,B grounded out to p unassisted, SAC, bunt: Molfetta,C advanced to second."
"1212","03/09/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Kuet,J grounded out to 2b: Molfetta,C advanced to third."
"1213","03/09/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Tawa, T. lined out to ss."
"1214","03/09/2018","Austin, Texas",NA,"6","bot","5-0","Texas","Stanford","Clemens, Ko flied out to lf."
"1215","03/09/2018","Austin, Texas",NA,"6","bot","5-0","Texas","Stanford","Zubia struck out swinging."
"1216","03/09/2018","Austin, Texas",NA,"6","bot","5-0","Texas","Stanford","Reynolds struck out swinging."
"1217","03/09/2018","Austin, Texas",NA,"7","top","5-0","Stanford","Texas","Robinson to p for Kingham."
"1218","03/09/2018","Austin, Texas",NA,"7","top","5-0","Stanford","Texas","Hoerner,N doubled down the rf line."
"1219","03/09/2018","Austin, Texas",NA,"7","top","5-0","Stanford","Texas","Wulff, B. grounded out to p: Hoerner,N advanced to third."
"1220","03/09/2018","Austin, Texas",NA,"7","top","5-0","Stanford","Texas","Daschbach grounded out to c, bunt."
"1221","03/09/2018","Austin, Texas",NA,"7","top","5-0","Stanford","Texas","Handley, M. flied out to rf."
"1222","03/09/2018","Austin, Texas",NA,"7","bot","5-0","Texas","Stanford","Petrinsky walked."
"1223","03/09/2018","Austin, Texas",NA,"7","bot","5-0","Texas","Stanford","Fields pinch ran for Petrinsky."
"1224","03/09/2018","Austin, Texas",NA,"7","bot","5-0","Texas","Stanford","Shaw, T doubled to right center: Fields advanced to third."
"1225","03/09/2018","Austin, Texas",NA,"7","bot","5-0","Texas","Stanford","Palisch, J. to p for Bubic, K.."
"1226","03/09/2018","Austin, Texas",NA,"7","bot","5-0","Texas","Stanford","McKenzie grounded out to p."
"1227","03/09/2018","Austin, Texas",NA,"7","bot","5-1","Texas","Stanford","Ellis out at first 1b to p, RBI: Shaw, T advanced to third: Fields scored."
"1228","03/09/2018","Austin, Texas",NA,"7","bot","5-1","Texas","Stanford","Hamilton out at first 1b to p."
"1229","03/09/2018","Austin, Texas",NA,"8","top","5-1","Stanford","Texas","McCann to c for Fields."
"1230","03/09/2018","Austin, Texas",NA,"8","top","5-1","Stanford","Texas","Whelan to p for Robinson."
"1231","03/09/2018","Austin, Texas",NA,"8","top","5-1","Stanford","Texas","Stowers,K walked."
"1232","03/09/2018","Austin, Texas",NA,"8","top","5-1","Stanford","Texas","Molfetta,C singled to third base: Stowers,K advanced to second."
"1233","03/09/2018","Austin, Texas",NA,"8","top","5-1","Stanford","Texas","Branton,B singled, bunt: Molfetta,C advanced to second: Stowers,K advanced to third."
"1234","03/09/2018","Austin, Texas",NA,"8","top","5-1","Stanford","Texas","Ridgeway to p for Whelan."
"1235","03/09/2018","Austin, Texas",NA,"8","top","6-1","Stanford","Texas","Kuet,J walked, RBI: Branton,B advanced to second: Molfetta,C advanced to third: Stowers,K scored."
"1236","03/09/2018","Austin, Texas",NA,"8","top","7-1","Stanford","Texas","Tawa, T. flied out to cf, SF, RBI: Branton,B advanced to third: Molfetta,C scored."
"1237","03/09/2018","Austin, Texas",NA,"8","top","7-1","Stanford","Texas","Hoerner,N hit into double play ss to 1b: Kuet,J out on the play."
"1238","03/09/2018","Austin, Texas",NA,"8","bot","7-1","Texas","Stanford","Hibbeler singled through the left side."
"1239","03/09/2018","Austin, Texas",NA,"8","bot","7-1","Texas","Stanford","Clemens, Ko popped up to 2b."
"1240","03/09/2018","Austin, Texas",NA,"8","bot","7-1","Texas","Stanford","Zubia singled to right field: Hibbeler advanced to second."
"1241","03/09/2018","Austin, Texas",NA,"8","bot","7-1","Texas","Stanford","Reynolds hit into double play ss to 2b to 1b: Zubia out on the play."
"1242","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Todd to rf for Hamilton."
"1243","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Hibbeler to ss."
"1244","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Shaw, T to lf."
"1245","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Verplank to p for Ridgeway."
"1246","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Wulff, B. struck out swinging."
"1247","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Daschbach grounded out to 3b."
"1248","03/09/2018","Austin, Texas",NA,"9","top","7-1","Stanford","Texas","Handley, M. grounded out to 3b."
"1249","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","Brueser, N. to 1b for Daschbach."
"1250","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","Grech, Z. to p for Palisch, J.."
"1251","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","McCann struck out swinging."
"1252","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","Shaw, T out at first 1b to p."
"1253","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","McKenzie singled to right field."
"1254","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","Ellis walked: McKenzie advanced to second."
"1255","03/09/2018","Austin, Texas",NA,"9","bot","7-1","Texas","Stanford","Todd struck out swinging."
"1256","03/10/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Tawa, T. struck out swinging."
"1257","03/10/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Hoerner,N grounded out to ss."
"1258","03/10/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Wulff, B. walked."
"1259","03/10/2018","Austin, Texas",NA,"1","top","1-0","Stanford","Texas","Daschbach doubled to center field, RBI: Wulff, B. scored."
"1260","03/10/2018","Austin, Texas",NA,"1","top","1-0","Stanford","Texas","Handley, M. grounded out to 3b."
"1261","03/10/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Hamilton struck out looking."
"1262","03/10/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Hibbeler struck out swinging."
"1263","03/10/2018","Austin, Texas",NA,"1","bot","1-0","Texas","Stanford","Clemens, Ko grounded out to 2b."
"1264","03/10/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Stowers,K walked."
"1265","03/10/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Stowers,K advanced to second on a wild pitch."
"1266","03/10/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Carter, B. grounded out to 2b: Stowers,K advanced to third."
"1267","03/10/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Branton,B struck out looking."
"1268","03/10/2018","Austin, Texas",NA,"2","top","1-0","Stanford","Texas","Kuet,J hit by pitch."
"1269","03/10/2018","Austin, Texas",NA,"2","top","2-0","Stanford","Texas","Tawa, T. singled to center field, RBI: Kuet,J advanced to second: Stowers,K scored."
"1270","03/10/2018","Austin, Texas",NA,"2","top","3-0","Stanford","Texas","Hoerner,N singled to center field, advanced to second on a throwing error by cf, RBI: Tawa, T. advanced to second, advanced to third on the error: Kuet,J scored."
"1271","03/10/2018","Austin, Texas",NA,"2","top","3-0","Stanford","Texas","Wulff, B. walked."
"1272","03/10/2018","Austin, Texas",NA,"2","top","5-0","Stanford","Texas","Daschbach singled, 2 RBI: Wulff, B. advanced to second: Hoerner,N scored: Tawa, T. scored."
"1273","03/10/2018","Austin, Texas",NA,"2","top","5-0","Stanford","Texas","Handley, M. grounded out to 2b."
"1274","03/10/2018","Austin, Texas",NA,"2","bot","5-0","Texas","Stanford","Zubia struck out swinging."
"1275","03/10/2018","Austin, Texas",NA,"2","bot","5-0","Texas","Stanford","Reynolds flied out to cf."
"1276","03/10/2018","Austin, Texas",NA,"2","bot","5-0","Texas","Stanford","Petrinsky flied out to rf."
"1277","03/10/2018","Austin, Texas",NA,"3","top","5-0","Stanford","Texas","Stowers,K struck out swinging."
"1278","03/10/2018","Austin, Texas",NA,"3","top","5-0","Stanford","Texas","Carter, B. singled to center field."
"1279","03/10/2018","Austin, Texas",NA,"3","top","5-0","Stanford","Texas","Branton,B flied out to lf."
"1280","03/10/2018","Austin, Texas",NA,"3","top","5-0","Stanford","Texas","Kuet,J popped up to 2b."
"1281","03/10/2018","Austin, Texas",NA,"3","bot","5-0","Texas","Stanford","Shaw, T struck out swinging."
"1282","03/10/2018","Austin, Texas",NA,"3","bot","5-0","Texas","Stanford","McCann lined out to 2b."
"1283","03/10/2018","Austin, Texas",NA,"3","bot","5-0","Texas","Stanford","Fields grounded out to 2b."
"1284","03/10/2018","Austin, Texas",NA,"4","top","5-0","Stanford","Texas","Tawa, T. struck out swinging."
"1285","03/10/2018","Austin, Texas",NA,"4","top","5-0","Stanford","Texas","Hoerner,N flied out to rf."
"1286","03/10/2018","Austin, Texas",NA,"4","top","5-0","Stanford","Texas","Wulff, B. flied out to rf."
"1287","03/10/2018","Austin, Texas",NA,"4","bot","5-0","Texas","Stanford","Hamilton struck out looking."
"1288","03/10/2018","Austin, Texas",NA,"4","bot","5-0","Texas","Stanford","Hibbeler doubled to left center."
"1289","03/10/2018","Austin, Texas",NA,"4","bot","5-0","Texas","Stanford","Clemens, Ko walked."
"1290","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","Zubia homered to left field, 3 RBI: Clemens, Ko scored: Hibbeler scored."
"1291","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","Reynolds singled to third base."
"1292","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","Petrinsky popped up to ss."
"1293","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","Shaw, T singled to center field: Reynolds advanced to second."
"1294","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","McCann hit by pitch: Shaw, T advanced to second: Reynolds advanced to third."
"1295","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","Weiermiller to p for Miller, E.."
"1296","03/10/2018","Austin, Texas",NA,"4","bot","5-3","Texas","Stanford","Fields flied out to rf."
"1297","03/10/2018","Austin, Texas",NA,"5","top","5-3","Stanford","Texas","Daschbach popped up to ss."
"1298","03/10/2018","Austin, Texas",NA,"5","top","5-3","Stanford","Texas","Handley, M. grounded out to ss."
"1299","03/10/2018","Austin, Texas",NA,"5","top","5-3","Stanford","Texas","Stowers,K grounded out to 2b."
"1300","03/10/2018","Austin, Texas",NA,"5","bot","5-3","Texas","Stanford","Hamilton struck out looking."
"1301","03/10/2018","Austin, Texas",NA,"5","bot","5-3","Texas","Stanford","Hibbeler flied out to cf."
"1302","03/10/2018","Austin, Texas",NA,"5","bot","5-3","Texas","Stanford","Clemens, Ko singled up the middle."
"1303","03/10/2018","Austin, Texas",NA,"5","bot","5-3","Texas","Stanford","Zubia flied out to cf."
"1304","03/10/2018","Austin, Texas",NA,"6","top","5-3","Stanford","Texas","Carter, B. flied out to lf."
"1305","03/10/2018","Austin, Texas",NA,"6","top","5-3","Stanford","Texas","Branton,B reached on a throwing error by ss."
"1306","03/10/2018","Austin, Texas",NA,"6","top","5-3","Stanford","Texas","Branton,B out at first c to 1b, picked off."
"1307","03/10/2018","Austin, Texas",NA,"6","top","5-3","Stanford","Texas","Kuet,J walked."
"1308","03/10/2018","Austin, Texas",NA,"6","top","5-3","Stanford","Texas","Tawa, T. grounded out to p."
"1309","03/10/2018","Austin, Texas",NA,"6","bot","5-3","Texas","Stanford","Reynolds struck out swinging."
"1310","03/10/2018","Austin, Texas",NA,"6","bot","5-3","Texas","Stanford","Petrinsky flied out to cf."
"1311","03/10/2018","Austin, Texas",NA,"6","bot","5-3","Texas","Stanford","Shaw, T struck out looking."
"1312","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","McGuire to p for Henley."
"1313","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Todd to rf for Hamilton."
"1314","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Hibbeler to ss."
"1315","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Shaw, T to lf."
"1316","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Hoerner,N grounded out to 2b."
"1317","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Wulff, B. struck out looking."
"1318","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Daschbach walked."
"1319","03/10/2018","Austin, Texas",NA,"7","top","5-3","Stanford","Texas","Handley, M. struck out looking."
"1320","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","McCann singled to shortstop."
"1321","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","Little, J. to p for Weiermiller."
"1322","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","Baker pinch ran for McCann."
"1323","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","Ellis pinch hit for Fields."
"1324","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","Ellis struck out looking."
"1325","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","Todd grounded out to ss: Baker advanced to second."
"1326","03/10/2018","Austin, Texas",NA,"7","bot","5-3","Texas","Stanford","Hibbeler struck out swinging."
"1327","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Petrinsky to c."
"1328","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","McKenzie to 1b for Baker."
"1329","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Ellis to cf."
"1330","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Stowers,K singled up the middle."
"1331","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Carter, B. flied out to lf."
"1332","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Branton,B grounded out to p, bunt, SAC: Stowers,K advanced to second."
"1333","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Sawyer to p for McGuire."
"1334","03/10/2018","Austin, Texas",NA,"8","top","5-3","Stanford","Texas","Kuet,J flied out to cf."
"1335","03/10/2018","Austin, Texas",NA,"8","bot","5-3","Texas","Stanford","Brueser, N. to 1b for Daschbach."
"1336","03/10/2018","Austin, Texas",NA,"8","bot","5-3","Texas","Stanford","Clemens, Ko struck out swinging."
"1337","03/10/2018","Austin, Texas",NA,"8","bot","5-3","Texas","Stanford","Zubia popped up to ss."
"1338","03/10/2018","Austin, Texas",NA,"8","bot","5-3","Texas","Stanford","Reynolds grounded out to 1b unassisted."
"1339","03/10/2018","Austin, Texas",NA,"9","top","5-3","Stanford","Texas","Tawa, T. walked."
"1340","03/10/2018","Austin, Texas",NA,"9","top","5-3","Stanford","Texas","Ridgeway to p for Sawyer."
"1341","03/10/2018","Austin, Texas",NA,"9","top","5-3","Stanford","Texas","Hoerner,N singled to right field: Tawa, T. advanced to second."
"1342","03/10/2018","Austin, Texas",NA,"9","top","5-3","Stanford","Texas","Wulff, B. flied out to cf: Tawa, T. advanced to third."
"1343","03/10/2018","Austin, Texas",NA,"9","top","5-3","Stanford","Texas","Hoerner,N advanced to second."
"1344","03/10/2018","Austin, Texas",NA,"9","top","5-3","Stanford","Texas","Brueser, N. walked."
"1345","03/10/2018","Austin, Texas",NA,"9","top","6-3","Stanford","Texas","Handley, M. flied out to cf, SF, RBI: Hoerner,N advanced to third: Tawa, T. scored."
"1346","03/10/2018","Austin, Texas",NA,"9","top","9-3","Stanford","Texas","Stowers,K homered to right center, 3 RBI: Brueser, N. scored: Hoerner,N scored."
"1347","03/10/2018","Austin, Texas",NA,"9","top","9-3","Stanford","Texas","Carter, B. flied out to lf."
"1348","03/10/2018","Austin, Texas",NA,"9","bot","9-3","Texas","Stanford","Petrinsky singled to center field."
"1349","03/10/2018","Austin, Texas",NA,"9","bot","9-3","Texas","Stanford","Shaw, T struck out swinging."
"1350","03/10/2018","Austin, Texas",NA,"9","bot","9-3","Texas","Stanford","McKenzie struck out swinging."
"1351","03/10/2018","Austin, Texas",NA,"9","bot","9-3","Texas","Stanford","Petrinsky advanced to second on a passed ball."
"1352","03/10/2018","Austin, Texas",NA,"9","bot","9-3","Texas","Stanford","Ellis walked."
"1353","03/10/2018","Austin, Texas",NA,"9","bot","9-3","Texas","Stanford","Todd flied out to rf."
"1354","03/11/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Tawa, T. reached on a fielding error by ss."
"1355","03/11/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Hoerner,N singled to right center Tawa, T. advanced to third."
"1356","03/11/2018","Austin, Texas",NA,"1","top","0-0","Stanford","Texas","Wulff, B. struck out swinging."
"1357","03/11/2018","Austin, Texas",NA,"1","top","3-0","Stanford","Texas","Daschbach homered to left field, 3 RBI Hoerner,N scored Tawa, T. scored, unearned."
"1358","03/11/2018","Austin, Texas",NA,"1","top","3-0","Stanford","Texas","Handley, M. grounded out to ss."
"1359","03/11/2018","Austin, Texas",NA,"1","top","3-0","Stanford","Texas","Stowers,K singled up the middle."
"1360","03/11/2018","Austin, Texas",NA,"1","top","3-0","Stanford","Texas","Stowers,K out at second c to ss, caught stealing."
"1361","03/11/2018","Austin, Texas",NA,"1","bot","3-0","Texas","Stanford","Hamilton flied out to lf."
"1362","03/11/2018","Austin, Texas",NA,"1","bot","3-0","Texas","Stanford","Hibbeler grounded out to p."
"1363","03/11/2018","Austin, Texas",NA,"1","bot","3-0","Texas","Stanford","Clemens, Ko struck out swinging, out at first c to 1b."
"1364","03/11/2018","Austin, Texas",NA,"2","top","3-0","Stanford","Texas","Carter, B. flied out to cf."
"1365","03/11/2018","Austin, Texas",NA,"2","top","3-0","Stanford","Texas","Kuet,J grounded out to 2b."
"1366","03/11/2018","Austin, Texas",NA,"2","top","3-0","Stanford","Texas","Molfetta,C struck out looking."
"1367","03/11/2018","Austin, Texas",NA,"2","bot","3-0","Texas","Stanford","Zubia flied out to cf."
"1368","03/11/2018","Austin, Texas",NA,"2","bot","3-0","Texas","Stanford","Reynolds grounded out to ss."
"1369","03/11/2018","Austin, Texas",NA,"2","bot","3-0","Texas","Stanford","Petrinsky grounded out to p."
"1370","03/11/2018","Austin, Texas",NA,"3","top","3-0","Stanford","Texas","Tawa, T. grounded out to p."
"1371","03/11/2018","Austin, Texas",NA,"3","top","3-0","Stanford","Texas","Hoerner,N grounded out to 2b."
"1372","03/11/2018","Austin, Texas",NA,"3","top","3-0","Stanford","Texas","Wulff, B. flied out to rf."
"1373","03/11/2018","Austin, Texas",NA,"3","bot","3-0","Texas","Stanford","Shaw, T struck out swinging, out at first c to 1b."
"1374","03/11/2018","Austin, Texas",NA,"3","bot","3-0","Texas","Stanford","Todd flied out to cf."
"1375","03/11/2018","Austin, Texas",NA,"3","bot","3-0","Texas","Stanford","Ellis grounded out to ss."
"1376","03/11/2018","Austin, Texas",NA,"4","top","3-0","Stanford","Texas","Daschbach hit by pitch."
"1377","03/11/2018","Austin, Texas",NA,"4","top","3-0","Stanford","Texas","Handley, M. grounded out to 2b Daschbach advanced to second."
"1378","03/11/2018","Austin, Texas",NA,"4","top","3-0","Stanford","Texas","Stowers,K grounded out to 2b Daschbach advanced to third."
"1379","03/11/2018","Austin, Texas",NA,"4","top","3-0","Stanford","Texas","Carter, B. grounded out to 2b."
"1380","03/11/2018","Austin, Texas",NA,"4","bot","3-0","Texas","Stanford","Hamilton grounded out to 2b."
"1381","03/11/2018","Austin, Texas",NA,"4","bot","3-0","Texas","Stanford","Hibbeler out at first 1b to p."
"1382","03/11/2018","Austin, Texas",NA,"4","bot","3-0","Texas","Stanford","Clemens, Ko struck out swinging."
"1383","03/11/2018","Austin, Texas",NA,"5","top","3-0","Stanford","Texas","Kuet,J popped up to 3b."
"1384","03/11/2018","Austin, Texas",NA,"5","top","3-0","Stanford","Texas","Molfetta,C flied out to cf."
"1385","03/11/2018","Austin, Texas",NA,"5","top","3-0","Stanford","Texas","Tawa, T. grounded out to ss."
"1386","03/11/2018","Austin, Texas",NA,"5","bot","3-0","Texas","Stanford","Zubia struck out looking."
"1387","03/11/2018","Austin, Texas",NA,"5","bot","3-0","Texas","Stanford","Reynolds grounded out to 2b."
"1388","03/11/2018","Austin, Texas",NA,"5","bot","3-0","Texas","Stanford","Petrinsky flied out to cf."
"1389","03/11/2018","Austin, Texas",NA,"6","top","3-0","Stanford","Texas","Hoerner,N walked."
"1390","03/11/2018","Austin, Texas",NA,"6","top","3-0","Stanford","Texas","Elder to p for Shugart."
"1391","03/11/2018","Austin, Texas",NA,"6","top","3-0","Stanford","Texas","Hoerner,N advanced to second on a wild pitch."
"1392","03/11/2018","Austin, Texas",NA,"6","top","3-0","Stanford","Texas","Wulff, B. walked."
"1393","03/11/2018","Austin, Texas",NA,"6","top","3-0","Stanford","Texas","Daschbach singled up the middle Wulff, B. advanced to second Hoerner,N advanced to third."
"1394","03/11/2018","Austin, Texas",NA,"6","top","4-0","Stanford","Texas","Handley, M. walked, RBI Daschbach advanced to second Wulff, B. advanced to third Hoerner,N scored."
"1395","03/11/2018","Austin, Texas",NA,"6","top","4-0","Stanford","Texas","McKenzie to p for Elder."
"1396","03/11/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Handley, M. advanced to second on a wild pitch Daschbach advanced to third on a wild pitch Wulff, B. scored on a wild pitch."
"1397","03/11/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Stowers,K walked."
"1398","03/11/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Carter, B. struck out looking."
"1399","03/11/2018","Austin, Texas",NA,"6","top","5-0","Stanford","Texas","Kuet,J struck out swinging."
"1400","03/11/2018","Austin, Texas",NA,"6","top","6-0","Stanford","Texas","Molfetta,C walked, RBI Stowers,K advanced to second Handley, M. advanced to third Daschbach scored."
